French,English
histoire,history
aide,help
genre,kind
aucun,no
laisse,leash
parlé,should
arrivé,baby
bébé,hours
longtemps,will
heures,while
revoir,square
aucune,knew
savais,Warning
attention,here is
voici,could
pourrais,case
affaire,give
donner,type
leurs,train
train,way
yeux,find
trouve,first
pouvoir,here
sois,morning
matin,point
enfant,after
pardon,minutes
minutes,request
demandé,bedroom
chambre,placed
mis,beautiful
belle,law
droit,would like to
espère,water
eau,Wait
attendez,left
parti,new
nouvelle,job
boulot,Stop
dirait,Earth
compte,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
